Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",151b3e429-9599-1d43-ba86-b299d846dbbe,GBR,EVER LAMBENT,2024-09-01T03:00:00Z,2024-09-01T17:00:00Z,CARGO,CARGO,235093569,9595436,2FRE8,2012-08-02T12:59:30Z,2024-10-07T23:59:44Z,15.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",befcda9be-e7b1-deef-5774-790be119e050,BMU,CORAL PRINCESS,2024-07-31T11:00:00Z,2024-08-02T10:00:00Z,PASSENGER,PASSENGER,310376000,9229659,ZCDF4,2012-01-02T22:10:07Z,2024-10-04T03:17:14Z,48.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",917528786-6a2b-2102-9e2a-de6ebff295a8,HKG,COSCO PACIFIC,2024-07-14T02:00:00Z,2024-07-15T04:00:00Z,CARGO,CARGO,477107200,9355551,VREC4,2012-01-01T00:28:30Z,2024-10-07T23:59:04Z,27.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",a21984548-8bc2-f3a1-d492-39ac1a6e0ac3,CHL,LAGO ICALMA,2024-07-10T21:00:00Z,2024-08-04T17:00:00Z,OTHER,OTHER,725001472,8421872,CA 5379,2015-09-22T14:58:26Z,2024-10-07T23:59:13Z,595.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",488aee787-7fee-e2ef-5b29-ebaaaff0fba4,MHL,COMMON HORIZON,2024-09-02T10:00:00Z,2024-09-03T16:00:00Z,CARGO,CARGO,538007473,9693202,V7PL8,2017-05-24T09:41:11Z,2024-10-07T23:57:08Z,31.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",a3ff48572-26eb-dc5b-f837-7f28af271081,PAN,BUNUN FORTUNE,2024-10-06T14:00:00Z,2024-10-06T23:00:00Z,OTHER,OTHER,354804000,9707833,3EIC3,2021-01-26T04:16:32Z,2024-10-07T23:59:59Z,10.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",ef552f642-273e-ed59-e081-5699fd457f2a,DNK,SALLY MAERSK,2024-08-25T16:00:00Z,2024-08-26T10:00:00Z,CARGO,CARGO,219324000,9120865,OZHS2,2012-01-01T01:08:30Z,2024-10-07T23:58:50Z,19.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",4617763d4-4274-71c0-2318-71273d3665fa,BHS,SPRUCE ARROW,2024-07-07T00:00:00Z,2024-07-07T08:00:00Z,CARGO,CARGO,311288000,9232814,C6SD9,2012-01-01T00:28:50Z,2024-10-07T23:59:44Z,9.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",1c59f9650-0b2d-6c77-778b-ff00f1286a24,SGP,WAN HAI 622,2024-07-28T01:00:00Z,2024-07-28T20:00:00Z,CARGO,CARGO,563126700,9307035,9V7053,2021-03-17T04:11:34Z,2024-10-07T23:59:54Z,20.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",6436bba8c-ca62-67f4-258a-d7fb21daee2d,LBR,CCNI ARAUCO,2024-09-01T18:00:00Z,2024-09-02T07:00:00Z,CARGO,CARGO,636092897,9683843,D5GZ3,2019-01-06T18:06:59Z,2024-10-07T23:59:51Z,14.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",2fd185da7-77ca-2021-3fb1-342d3439e903,PAN,TOCAYO,2024-09-14T16:00:00Z,2024-09-16T13:00:00Z,CARGO,CARGO,352003598,9310575,3E5236,2024-05-07T13:32:32Z,2024-10-07T23:59:04Z,46.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",89cde0006-6d9a-583a-1b25-2eed7b652f2e,SGP,KOTA SEJARAH,2024-08-01T01:00:00Z,2024-08-01T02:00:00Z,CARGO,CARGO,565706000,9681247,9V2126,2014-11-27T01:07:13Z,2024-10-07T23:59:47Z,2.00
